,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,motomami,1,Rosalía,Motomami,"Rosalía

            —
            Motomami",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
1,form-grows-rampant,2,The Threshold HouseBoys Choir,Form Grows Rampant,"The Threshold HouseBoys Choir

              —
              Form Grows Rampant
            
              (Musique Pour La Danse)",Musique Pour La Danse,"Simply one of the strangest, greatest pieces of music we know, Sleazy Peter Christopherson’s 2007 turn as Threshold House Boys Choir becomes the next Coil-related project to see a welcome posthumous reissue.

Originally a CD + DVD release presenting the work in its original A/V form, replete with utterly compelling video of young Buddhist monks in... more",/products/form-grows-rampant,https://assets.boomkat.com/spree/products/790959/product/5414165122388_T6_Image.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
2,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,3,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
3,for-star-crater-speak,4,Slauson Malone,"for Star 
            
              (Grand Closing)","Slauson Malone

              —
              for Star (Crater Speak)
            
              (Grand Closing)",Crater Speak,"Breakthru avant-soul expressionist Slauson Malone plays out two instrumental loose sketches in wickedly elusive style on his label, Grand Closing

Esteemed for his production on Danny Brown’s ‘uknowhatimsayin¿’ and emergent body of solo work, LA’s Saluson Malone grants access to stranger nooks of his swede with two amorphous, off-kilter sketches for bass... more",/products/for-star-crater-speak,https://assets.boomkat.com/spree/products/802634/product/0840200510882.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
4,headless-8623be45-635d-4ca0-bb0c-b21454165844,5,LEECH,Headless,"LEECH

              —
              Headless
            
              (Anonymous Club)",Anonymous Club,"Hood By Air co-founder Shayne Oliver leans into the LEECH moniker for six tracks of chaotic post-GHE20G0TH1K roboticka that's somewhere between Zebra Katz, Arca and Rabit. 

Released on his own Anonymous Club imprint ""Headless"" is a bold statement from Oliver, who follows last year's impressive ""PROLOGUE"" with another short, sharp collection of... more",/products/headless-8623be45-635d-4ca0-bb0c-b21454165844,https://assets.boomkat.com/spree/products/824977/product/0810072042842.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
5,is-dead-volume-one,6,Paul Chain,"Is Dead 
            
              (Horn Of Plenty)","Paul Chain

              —
               Is Dead (Volume One)
            
              (Horn Of Plenty)",Volume One,"93 minute collection of the electronic, ambient, prog, and kosmische side of the 80's-90's Paul Chain catalogue.

Paul Chain is widely revered in the Doom Metal underground, and rightly so, but this collection aims to highlight the many 'other' sides to his work. Anyone interested in NWW list or Mutant Sounds should investigate. Officially licensed collection bringing... more",/products/is-dead-volume-one,https://assets.boomkat.com/spree/products/752663/product/A17s5azyDVS._AC_SX679_.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
6,club-romantico-presents-the-godfather-of-raptor-house,7,DJ Baba,Club Romantico Presents - The Godfather of Raptor House,"DJ Baba

              —
              Club Romantico Presents - The Godfather of Raptor House
            
              (Club Romantico)",Club Romantico,"Thrilling Venezuelan hard dance pressure from Pedro Elias Corro, AKA DJ Baba, inventor of “Raptor House” -  widely recognised as the first purely Venezuelan electronic music genre, here served steaming hot via DJ Florentino’s Club Romantico. An unmissable workout for hips and party bodies on the line from Arca to De Schuurman, Nick León to... more",/products/club-romantico-presents-the-godfather-of-raptor-house,https://assets.boomkat.com/spree/products/818512/product/cover.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
7,conduit-74a5e625-5252-4425-a841-b954720babdf,8,Coby Sey,Conduit,"Coby Sey

              —
              Conduit
            
              (AD 93)",AD 93,"Coby Sey fully transcends everything we expected - and that was already a lot - on his shapeshifting debut album; a multi-layered fractalisation of Tricky-level trip-hop, blitzed electronics, post Grime, surrealist poetry and filthy basement techno. We're ruined by this one - one of the most gripping and satisfying braindumps we've heard this year.

Trip-hop's been... more",/products/conduit-74a5e625-5252-4425-a841-b954720babdf,https://assets.boomkat.com/spree/products/850781/product/Coby_Sey_distro_preview.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
8,meeting-with-a-judas-tree,9,Duval Timothy,Meeting With A Judas Tree,"Duval Timothy

              —
              Meeting With A Judas Tree
            
              (Carrying Colour)",Carrying Colour,"Duval Timothy’s piano music grows in stature and sprawling ideas with this mix of odes to Mahler and electro-acoustic/concrète evocations of the landscapes to England, Italy, and West Africa, featuring guest input by Fauzia, Yu Su, Vegyn and Lamin Fofana

‘Meeting With a Judas Tree’ is Timothy’s first solo album since 2020 and a significant way... more",/products/meeting-with-a-judas-tree,https://assets.boomkat.com/spree/products/842933/product/CC008_Cover.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
9,xtasis-c06a6c61-dd2a-4399-9c02-a32aa7e393d4,10,Nick León,Xtasis,"Nick León

              —
              Xtasis
            
              (Tra Tra Trax)",Tra Tra Trax,"Don of the moment, Nick León fuses raptor house’s Eurohouse influence on a pair of zingers b/w strong remixes by Pearson Sound and Doctor Jeep

Arriving in the wake of his high grade EPs with Florentino’s Club Romántico, Naafi, and Future Times,  León jumps back to Colombia’s Tra Tra Trax with two proper heaters for ’22. In ‘Xtasis’ we hear him emphasise the... more",/products/xtasis-c06a6c61-dd2a-4399-9c02-a32aa7e393d4,https://assets.boomkat.com/spree/products/821214/product/8718723205207.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
10,ay-83dc721d-37fc-4c88-8ba8-d58c2f03667d,11,Lucrecia Dalt,¡Ay!,"Lucrecia Dalt

              —
              ¡Ay!
            
              (RVNG Intl.)",RVNG Intl.,"Berlin-based Colombian noisemaker Lucrecia Dalt ties off a blistering run of releases with her latest album proper, the follow-up to 2020's acclaimed ""No Era Solida"". Using Latin American rhythms like bolero, sasa and merengue, and singing in Spanish for the first time in almost a decade, Dalt brings contemporary speculative intrigue to elements all too often... more",/products/ay-83dc721d-37fc-4c88-8ba8-d58c2f03667d,https://assets.boomkat.com/spree/products/814365/product/747742384868.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
11,yunaeon,12,Gerome Gadient,yunaeon,"Gerome Gadient

            —
            yunaeon",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
12,itsalmostdry,13,Pusha T,It’s Almost Dry,"Pusha T

            —
            It’s Almost Dry",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
13,living-torch,14,Kali Malone,Living Torch,"Kali Malone

              —
              Living Torch
            
              (Portraits GRM)",Portraits GRM,"Contemporary drone visionary Kali Malone gathers a new, electroacoustic ensemble for her monumental first entry to the GRM pantheon, factoring her pursuit of dynamic timbral horizons with a subtly re-calibrated sense of scale and heightened emotive levity that straddles early music, 20th century American minimalism, electronic drone and widescreen... more",/products/living-torch,https://assets.boomkat.com/spree/products/816922/product/SPGRM004_Cover.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
14,constrictor,15,Florentino & BAMBII & KD One,Constrictor,"Florentino & BAMBII & KD One

              —
              Constrictor
            
              (XL Recordings)",XL Recordings,"New levels from Manchester’s dembow pusherman Florentino, underlining Bambii & KD One with a deadly dancehall-reggaeton sidewinder on his first mission for XL

First introduced by Swing Ting, then pulling up on Mixpak, before building his Club Romántico label with aces by his Sangre Nueva trio with DJ Python & Kelman Duran, plus DJ Baba, and... more",/products/constrictor,https://assets.boomkat.com/spree/products/830060/product/191404128350_T2_Image.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
15,mr-mixondo-b6609865-df56-4f09-81c6-fc4ec0bd717c,16,DJ Travella,Mr Mixondo,"DJ Travella

              —
              Mr Mixondo
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Holy fùck! Dar Es Salaam’s 19 y.o. DJ Travella pins the singeli flag at the pinnacle of Afrofuturist road and club music for 2022 with an incendiary introduction via Kampala’s Nyege Nyege Tapes.

Marking five years since NNT revolutionised international perceptions of East African music with the ’Sounds of Sisso’ comp, Hamadi Hassani aka DJ Travella naturally pushes... more",/products/mr-mixondo-b6609865-df56-4f09-81c6-fc4ec0bd717c,https://assets.boomkat.com/spree/products/798561/product/768558900509.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
16,palaces-of-pity,17,Malibu,Palaces of Pity,"Malibu

              —
              Palaces of Pity
            
              (UNO NYC)",UNO NYC,"The eagerly-awaited sequel to Malibu's ""One Life"", ""Palaces of Pity"" is a euphoric ambient (trance?) elegy to calm, sublimating delayed guitars and cello into balearic zoomer-bient bliss sequences that remind us of Orbital, Burial, Enya.

'One Life' was an all-too-brief album that summarized a spectrum of moods, refining the slow crawl of nostalgic ambience... more",/products/palaces-of-pity,https://assets.boomkat.com/spree/products/850218/product/Malibu_distribution_preview_TIP!.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
17,kingcobra,18,Infinity Knives & Brian Ennals,King Cobra,"Infinity Knives & Brian Ennals

            —
            King Cobra",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
18,shebang-7183dded-7d37-4212-a473-cc300633026a,19,OREN AMBARCHI,Shebang,"OREN AMBARCHI

              —
              Shebang
            
              (Drag City)",Drag City,"Uniquely disciplined guitarist Oren Ambarchi hustles an all-star ensemble in filigree arrangements of joyous, hyper-rhythmic melodicism nodding to Albert Marcoeur, early Pat Metheny Group, Henry Kaiser’s It’s A Wonderful Life and Steve Reich’s Electric Counterpoint.

Following in the vein of his intricately detailed longform workouts including ‘Quixotism’ (2014)... more",/products/shebang-7183dded-7d37-4212-a473-cc300633026a,https://assets.boomkat.com/spree/products/818045/product/781484085324_T5_Image.jpg,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
19,galatea,20,Doon Kanda,Galatea,"Doon Kanda

            —
            Galatea",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2082,Bill Kouligas,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2082
