,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,li011,1,Various / Low Income $quad,LI$011,"Various / Low Income $quad

            —
            LI$011",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
1,springsteeze,2,EQ Why & Diamond Soul,Spring Steeze,"EQ Why & Diamond Soul

            —
            Spring Steeze",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
2,time-exercises,3,Cam Deas,Time Exercises,"Cam Deas

              —
              Time Exercises
            
              (The Death Of Rave)",The Death Of Rave,"Cam Deas is a guitar virtuoso who has switched to modular synth and computer productions resulting in these staggering studies in polymetric, mercurial and dissonant tunings - hugely recommended if you’re into the work of Autechre, Rashad Becker, Roland Kayn, Fis, Coil, Xenakis.

Time Exercises is a complex study in amorphous polymetric rhythms by Cam... more",/products/time-exercises,https://assets.boomkat.com/spree/products/495431/product/RAVE022_dist_preview.jpg,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
3,four-indonesian-electronic-pieces-1979-1984,4,Otto Sidharta,Indonesian Electronic Music 1979-1992,"Otto Sidharta

              —
              Indonesian Electronic Music 1979-1992
            
              (Sub Rosa)",Sub Rosa,"Sub Rosa’s vital Early Electronic Series yields a fascinating and unprecedented collection of Indonesian Electronic Music 1979-1992 with the 1st survey of work by Otto Sidharta; a graduate of music composition at Jakarta Institute of Arts, electronic music composition at Sweelinck Conservatorium Amsterdam, and recently a doctorate from Institute Seni... more",/products/four-indonesian-electronic-pieces-1979-1984,https://assets.boomkat.com/spree/products/480424/product/5411867114529.jpg,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
4,quicksilverlips,5,Modern Institute,Quicksilver Lips,"Modern Institute

            —
            Quicksilver Lips",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
5,album-desconhecido,6,P.Adrix,"Álbum Desconhecido 
            
              (Príncipe)","P.Adrix

              —
              Álbum Desconhecido (2018 Special Edition)
            
              (Príncipe)",2018 Special Edition,"Even by Príncipe’s ridiculously high standards, this is jaw-droppingly good, fierce but soulful hybrids of kuduro with R&B, trance-techno, drill and jump-up jungle, in our view some of the most thrilling music made by anyone in the world right now...

Príncipe kick off 2018 in a big way with the remarkable début by P. (as in ‘Producer’) Adrix; a 22 year old artist... more",/products/album-desconhecido,https://assets.boomkat.com/spree/products/476414/product/Dist-Prev_1.jpg,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
6,violent-quand-on-aime,7,Violent Quand On Aime,Violent Quand On Aime,"Violent Quand On Aime

              —
              Violent Quand On Aime
            
              (Knekelhuis)",Knekelhuis,"Grade A, cheap and effective mixture of B-movie horror electronics and natty EBM from the Knekelhuis camp. Sounds like Legowelt’s impish sibling. RIYL Beau Wanzer, Maoupa Mazzocchetti, Xander Harris

“Coming from different regions in France, Violent Quand On Aime’s members have joined forces to canalize their energies into something truly essential. Far... more",/products/violent-quand-on-aime,https://assets.boomkat.com/spree/products/504221/product/KH015-Violent_Quand_On_Aime_2000x2000.jpg,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
7,paradise-94,8,Lucy Railton,Paradise 94,"Lucy Railton

              —
              Paradise 94 
            
              (Modern Love)",Modern Love,"Prolific cellist and composer Lucy Railton releases her long awaited solo debut for Modern Love; an intense and multi-layered opus that reminds us of everything from Alvin Lucier, Beatrice Dillon and Nate Young, to Valerio Tricoli and Popol Vuh.

A prolific performer who has appeared on countless recordings and collaborations with many important figures in... more",/products/paradise-94,https://assets.boomkat.com/spree/products/489438/product/LOVE108_repress_Dist_Preview.jpg,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
8,aja-64cc367b-186d-4d44-8d3f-e3e0185f88ca,9,AJA,AJA,"AJA

              —
              AJA
            
              (OPAL TAPES)",OPAL TAPES,"Aja Ireland transposes the energy of her infamous live performances into this violent and bestially expressive shocker of a first album for Opal Tapes. Whichever angle you come at it, this one should leave you ragged and gagging for another go, if you’re of the mutant persuasion. RIYL Eartheater, Aïsha Devi, The Body

“Rarely does a debut release come with such... more",/products/aja-64cc367b-186d-4d44-8d3f-e3e0185f88ca,https://assets.boomkat.com/spree/products/588924/product/634457950351_T8_Image.jpg,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
9,oli-gumm,10,Bjarki,Oli Gumm,"Bjarki

              —
              Oli Gumm
            
              (Trip / TRIP Records)",Trip / TRIP Records,"Freakish, high-impact techno missiles from Bjarki on Nina Kraviz’s Trip

Check for the wide-eyed 150bpm pounder ‘Oli Gumm’ with its shattering breakdowns, and the mash den trample and avian squabble of ‘Hatann Satann’.

            more",/products/oli-gumm,https://assets.boomkat.com/spree/products/516429/product/5060589483347_T6_Image.jpg,817,Arlen / Nyege Nyege Tapes,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/817
