,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,fieldlocationimprovfilmsselfreleased,1,Laura Misch,Field Location Improv films (Self Released),"Laura Misch

            —
            Field Location Improv films (Self Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
1,tranquilityselfreleased,2,Bea1991,‘Tranquility' (Self Released),"Bea1991

            —
            ‘Tranquility' (Self Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
2,flashesintimeselfreleased,3,FAUZIA,‘flashes in time’ (Self Released),"FAUZIA

            —
            ‘flashes in time’ (Self Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
3,black-encyclopedia-of-the-air,4,Moor Mother,Black Encyclopedia Of The Air,"Moor Mother

              —
              Black Encyclopedia Of The Air
            
              (Epitaph)",Epitaph,"Moor Mother ‘fesses her deadliest fusion of jazz, rap, footwork and “anti-trip hop” on her most satisfying album to date, flanked by comrades including Black Quantum Futurism, Brother May, Pink Siifu, among many others.

Building on a resounding reputation established via her jazz-punk ensemble Irreversible Entanglements and guest spots with... more",/products/black-encyclopedia-of-the-air,https://assets.boomkat.com/spree/products/762201/product/open-uri20210906-23567-1agw51h.jpeg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
4,5-s-bahn-vinyl-edition,5,Lucy Railton,"5 S-Bahn 
            
              (Boomkat Editions | Documenting Sound)","Lucy Railton

              —
              5 S-Bahn (Vinyl Edition)
            
              (Boomkat Editions | Documenting Sound)",Vinyl Edition,"Newly remastered by Rashad Becker for this vinyl edition, ‘5 S-Bahn’ finds Lucy Railton rendering a sublime, haunting impression of Berlin made in early Spring 2020 for our Documenting Sound series of sonic postcards from around the globe. It’s essentially a recording of a world-renowned cellist duetting with the S-Bahn outside her apartment in Prenzlauer... more",/products/5-s-bahn-vinyl-edition,https://assets.boomkat.com/spree/products/739458/product/Cover.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
5,fabric-presents-sherelle-72ba763f-1f7c-4962-a51a-11a9b303f787,6,Various Artists,fabric presents SHERELLE,"Various Artists

              —
              fabric presents SHERELLE
            
              (Fabric Worldwide)",Fabric Worldwide,"Full throttle, 160bpm hardcore, jungle and footwork tekkers from the rave’s leading pied piper, for Fabric’s key mix series

In the space of a few short years, Sherelle has leapt from cult quantity to headline dynamo, largely with thanks to her incendiary and highly memed Boiler Room showcase in late 2019, when she generated nuclear energy levels via a jump up dub... more",/products/fabric-presents-sherelle-72ba763f-1f7c-4962-a51a-11a9b303f787,https://assets.boomkat.com/spree/products/776851/product/5060845320546.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
6,antidotes-214a0b0a-dc68-4f87-95b3-362965b9565b,7,Lucinda Chua,Antidotes,"Lucinda Chua

              —
              Antidotes
            
              (4AD)",4AD,"Dead strong solo debut proper from singer-songwriter/player Lucinda Chua (Stars Of The Lid, FKA Twigs), packaging her slept-on first EP and its follow-up in a lowkey first LP of sorts.

Spotlighting both her ‘Antidotes 1’ EP, which slunk out as a self-release in 2019, and its dreamlike sibling piece ‘Antidotes 2’, Lucinda’s 4AD debut provides an ideal context for... more",/products/antidotes-214a0b0a-dc68-4f87-95b3-362965b9565b,https://assets.boomkat.com/spree/products/735480/product/LucindaChua-Antidotes_1200x.jpeg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
7,heartbeats-94d3cb2d-6195-4e64-abaf-1ee8b2b647f2,8,UNiiQU3,Heartbeats,"UNiiQU3

              —
              Heartbeats
            
              (Local Action)",Local Action,"UNiiQU3's latest EP is an all killer no filler modern club marvel, packed with personality, bass and swing that'll remind you what was so great about Jersey club in the first place.

'Heartbeats' is an assured, coherent statement from UNiiQU3 that showcases her giddy mix of R&B and Jersey club and barely pauses for breath. There are no ambient interludes or... more",/products/heartbeats-94d3cb2d-6195-4e64-abaf-1ee8b2b647f2,https://assets.boomkat.com/spree/products/761415/product/3663729171870.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
8,homefornowselfreleased,9,Babeheaven,‘Home For Now’ (Self Released),"Babeheaven

            —
            ‘Home For Now’ (Self Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
9,8-b5af2035-6e58-4a2c-884f-1a8f006fcde0,10,El Hardwick,8,"El Hardwick

              —
              8
            
              (33 33)",33 33,,/products/8-b5af2035-6e58-4a2c-884f-1a8f006fcde0,https://assets.boomkat.com/spree/products/698251/product/5056321615176_T13_Image.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
10,bdebecausemusic,11,Shygirl,‘BDE’ (Because Music),"Shygirl

            —
            ‘BDE’ (Because Music)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
11,space-1-8,12,Nala Sinephro,Space 1.8,"Nala Sinephro

              —
              Space 1.8
            
              (Warp Records)",Warp Records,"Recorded when she was just 22, Nala Sinephro's debut album casts a potent spell, animating her harp, guitar and modular synth compositions with sturdy rhythms and horns. It's jazz that exists very much in the present, as much related to Rune Grammofon and ECM's surreal minimalism as Alice Coltrane's devotional bliss. V good!

London-based Sinephro can... more",/products/space-1-8,https://assets.boomkat.com/spree/products/761654/product/0801061032432.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
12,ruff-dog-7730a7bd-675d-442f-878a-21e3274c3a60,13,Mica Levi,Ruff Dog,"Mica Levi

              —
              Ruff Dog
            
              (Mica Levi)",Mica Levi,"Has Mica Levi ever made a bad record?

Shapeshifting genius Mica Levi does dream-pop with scorched, screwed effect somewhere between MBV, Spacemen 3 and Arthur Russell, and now available on its first vinyl pressing with their own label.

Thanks to pressing plant lags the physical item ‘Ruff Dog’ finally appears six months after the digital release, and... more",/products/ruff-dog-7730a7bd-675d-442f-878a-21e3274c3a60,https://assets.boomkat.com/spree/products/711023/product/5060263722878.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
13,reflection-79975cbf-b3b4-48b6-aded-f6e9ce88a901,14,Loraine James,Reflection,"Loraine James

              —
              Reflection
            
              (Hyperdub)",Hyperdub,"Loraine James follows 2019's charming ""For You & I"" with this melancholy scratch pad of disparate influences, from drill and R&B to IDM and ambient. Unashamedly beautiful music that perfectly captures an uncomfortably anxious period for British culture.

We don't need to explain what a grim landscape we're dealing with in the UK right now. The fallout of Brexit... more",/products/reflection-79975cbf-b3b4-48b6-aded-f6e9ce88a901,https://assets.boomkat.com/spree/products/722107/product/5056321637383_T12_Image.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
14,iterationostgutton,15,Jessica Ekomane & Zoe McPherson,‘Iteration’ (Ostgut Ton),"Jessica Ekomane & Zoe McPherson

            —
            ‘Iteration’ (Ostgut Ton)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
15,emley-lights-us-moor,16,aya featuring Iceboy Violet,Emley lights us moor,"aya featuring Iceboy Violet

              —
              Emley lights us moor
            
              (Hyperdub)",Hyperdub,"Two of the NW/Yorkshire’s breakthru stars team up on a standout from AYA’s superb ‘im hole’ album, already bound for AOTY 2021 listings.

Minting their very own style of mutant drill/grime/wot da fuck u want to call it, ‘Emley lights us moor’ contrasts their voices between an especially quiet start from AYA, and harder bars from Iceboy, innovating in the interstices... more",/products/emley-lights-us-moor,https://assets.boomkat.com/spree/products/753636/product/5056321637765_T2_Image.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
16,antiphonals,17,Sarah Davachi,Antiphonals,"Sarah Davachi

              —
              Antiphonals
            
              (Late Music)",Late Music,"Chock full of humid, resonant soundscapes that bend time and emphasize texture, tone and timbre, Sarah Davachi's latest is her most defining and rewarding full-length to date. We're floored, again - there's nobody else doing it quite like this.

Composed using a Mellotron, electric organ, piano and synthesizers, ""Antiphonals"" takes all the elements we know... more",/products/antiphonals,https://assets.boomkat.com/spree/products/763219/product/5060263723912.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
17,colourgrade,18,TIRZAH,Colourgrade,"TIRZAH

              —
              Colourgrade
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah's second album is a fuzz'd-aut, narcotic dreamscape, all screwed trip-pop soulfulness and buzzing, chaotic layers of harmonic noize and hazy ambience. An even slower burn than her cult debut, ""Colourgrade"" is subtly surprising and calmly mindblowing - co-produced again with Mica Levi and Coby Sey plus an additional stealth production job from Kwake... more",/products/colourgrade,https://assets.boomkat.com/spree/products/748184/product/887828047666_T11_Image.jpg,1740,patten,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1740
